"name","taxID","taxRank","taxLineage","Freq","cladeReads_mean","cladeReads_max","bracken_reads_mean","bracken_reads_max","RiskGroup","HOMD","HOMD.Category"
"Agrobacterium fabrum",1176649,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Rhizobiaceae|g_Agrobacterium|s_Agrobacterium fabrum",0,187,187,2791,2791,"NotAnnotated","NotAnnotated","NotAnnotated"
"Agrobacterium larrymoorei",160699,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Rhizobiaceae|g_Agrobacterium|s_Agrobacterium larrymoorei",0,25,25,71,71,"RG1","NotAnnotated","NotAnnotated"
"Agrobacterium leguminum",2792015,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Rhizobiaceae|g_Agrobacterium|s_Agrobacterium leguminum",0,1485,1485,13410,13410,"NotAnnotated","NotAnnotated","NotAnnotated"
"Agrobacterium pusense",648995,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Rhizobiaceae|g_Agrobacterium|s_Agrobacterium pusense",0,2355,2355,71370,71370,"NotAnnotated","NotAnnotated","NotAnnotated"
"Agrobacterium salinitolerans",1183413,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Rhizobiaceae|g_Agrobacterium|s_Agrobacterium salinitolerans",0,261,261,1850,1850,"NotAnnotated","NotAnnotated","NotAnnotated"
"Agrobacterium sp. T29",2580515,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Rhizobiaceae|g_Agrobacterium|s_Agrobacterium sp. T29",0,284,284,3507,3507,"NotAnnotated","NotAnnotated","NotAnnotated"
"Agrobacterium vitis",373,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Rhizobiaceae|g_Agrobacterium|s_Agrobacterium vitis",0,17,17,113,113,"RG1","NotAnnotated","NotAnnotated"
"Alicycliphilus denitrificans",179636,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Alicycliphilus|s_Alicycliphilus denitrificans",0,35,35,1147,1147,"NotAnnotated","NotAnnotated","NotAnnotated"
"Ancylobacter polymorphus",223390,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Xanthobacteraceae|g_Ancylobacter|s_Ancylobacter polymorphus",0,382,382,691,691,"NotAnnotated","NotAnnotated","NotAnnotated"
"Arachnia propionica",1750,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Propionibacteriales|f_Propionibacteriaceae|g_Arachnia|s_Arachnia propionica",0,80,80,65.3333333333333,164,"RG2","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Bacillus thuringiensis",1428,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_Bacillus thuringiensis",0,34,34,1629.25,8916,"RG1","NotAnnotated","NotAnnotated"
"Bacillus velezensis",492670,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_Bacillus velezensis",0,88.5,145,121788.25,1490881,"RG1","NotAnnotated","NotAnnotated"
"Baekduia alba",2997333,"S","r_root|k_Bacillati|p_Actinomycetota|c_Thermoleophilia|o_Solirubrobacterales|f_Baekduiaceae|g_Baekduia|s_Baekduia alba",0,18.25,23,275,413,"NotAnnotated","NotAnnotated","NotAnnotated"
"Baekduia soli",496014,"S","r_root|k_Bacillati|p_Actinomycetota|c_Thermoleophilia|o_Solirubrobacterales|f_Baekduiaceae|g_Baekduia|s_Baekduia soli",0,14.5,23,210.75,404,"NotAnnotated","NotAnnotated","NotAnnotated"
"Blautia hydrogenotrophica",53443,"S","r_root|k_Bacillati|p_Bacillota|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae|g_Blautia|s_Blautia hydrogenotrophica",0,145,145,313,313,"RG1","NotAnnotated","NotAnnotated"
"Bohxovirus oralis",2955512,"S","r_root|k_Heunggongvirae|p_Uroviricota|c_Caudoviricetes|o_Crassvirales|f_Suoliviridae|g_Bohxovirus|s_Bohxovirus oralis",0,892,892,892,892,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bordetella pertussis",520,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Bordetella|s_Bordetella pertussis",0,95,95,2480,2480,"RG2","Pathogen (Abundance: Scarce) | Unassigned","Pathogen"
"Bosea beijingensis",3068632,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Boseaceae|g_Bosea|s_Bosea beijingensis",0,72,72,462,462,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bosea sp. (in: a-proteobacteria)",1871050,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Boseaceae|g_Bosea|s_Bosea sp. (in: a-proteobacteria)",0,19,19,284,284,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bosea sp. 685",3080057,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Boseaceae|g_Bosea|s_Bosea sp. 685",0,11,11,70,70,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bosea sp. ANAM02",2020412,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Boseaceae|g_Bosea|s_Bosea sp. ANAM02",0,18,18,72,72,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bosea sp. AS-1",2015316,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Boseaceae|g_Bosea|s_Bosea sp. AS-1",0,53,53,124,124,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bosea sp. F3-2",2599640,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Boseaceae|g_Bosea|s_Bosea sp. F3-2",0,33,33,79,79,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bosea sp. NBC_00550",2969621,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Boseaceae|g_Bosea|s_Bosea sp. NBC_00550",0,23,23,55,55,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bosea sp. PAMC 26642",1792307,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Boseaceae|g_Bosea|s_Bosea sp. PAMC 26642",0,16,16,27,27,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bosea sp. RAC05",1842539,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Boseaceae|g_Bosea|s_Bosea sp. RAC05",0,34,34,408,408,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bosea sp. Tri-49",1867715,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Boseaceae|g_Bosea|s_Bosea sp. Tri-49",0,1318,1318,4736,4736,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bosea sp. UC22_33",3350165,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Boseaceae|g_Bosea|s_Bosea sp. UC22_33",0,26,26,124,124,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bosea vestrisii",151416,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Boseaceae|g_Bosea|s_Bosea vestrisii",0,688,688,2869,2869,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bradyrhizobium elkanii",29448,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Nitrobacteraceae|g_Bradyrhizobium|s_Bradyrhizobium elkanii",0,139.166666666667,253,2937.33333333333,5581,"RG1","Environmental -Soil/Water (Abundance: Scarce) | Unassigned","Microbiome"
"Bradyrhizobium japonicum",375,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Nitrobacteraceae|g_Bradyrhizobium|s_Bradyrhizobium japonicum",0,154,154,198.5,801,"RG1","NotAnnotated","NotAnnotated"
"Bradyrhizobium ontarionense",2898149,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Nitrobacteraceae|g_Bradyrhizobium|s_Bradyrhizobium ontarionense",0,153.666666666667,268,167,297,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bradyrhizobium prioriisuperbiae",2854389,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Nitrobacteraceae|g_Bradyrhizobium|s_Bradyrhizobium prioriisuperbiae",0,10,10,11,11,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bradyrhizobium sediminis",2840469,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Nitrobacteraceae|g_Bradyrhizobium|s_Bradyrhizobium sediminis",0,11,11,13,13,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bradyrhizobium sp. ORS 278",114615,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Nitrobacteraceae|g_Bradyrhizobium|s_Bradyrhizobium sp. ORS 278",0,97.8333333333333,170,110.333333333333,195,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bradyrhizobium sp. SK17",2057741,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Nitrobacteraceae|g_Bradyrhizobium|s_Bradyrhizobium sp. SK17",0,23,23,49.4285714285714,81,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brevundimonas albigilva",1312364,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas albigilva",0,27,28,79.3333333333333,157,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brevundimonas bullata",13160,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas bullata",0,38,38,65,65,"RG1","NotAnnotated","NotAnnotated"
"Brevundimonas intermedia",74315,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas intermedia",0,23,23,36,36,"RG1","NotAnnotated","NotAnnotated"
"Brevundimonas mediterranea",74329,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas mediterranea",0,48,48,83,83,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brevundimonas naejangsanensis",588932,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas naejangsanensis",0,90.5,155,322.5,589,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brevundimonas nasdae",172043,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas nasdae",0,33,33,74,74,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brevundimonas olei",657642,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas olei",0,345,605,595,1081,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brevundimonas pondensis",2774189,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas pondensis",0,83,83,128,128,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brevundimonas sp. Bb-A",2560058,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas sp. Bb-A",0,3228,3228,11755,11755,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brevundimonas sp. DS20",1532555,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas sp. DS20",0,3622,3622,7669,15151,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brevundimonas sp. GW460-12-10-14-LB2",1827469,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas sp. GW460-12-10-14-LB2",0,40,40,118.5,178,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brevundimonas sp. S1H14",3078084,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas sp. S1H14",0,85,85,98,181,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brevundimonas sp. SL130",2995143,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas sp. SL130",0,47,47,69,69,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brevundimonas sp. scallop",2562582,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas sp. 'scallop'",0,93,93,248.5,438,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brevundimonas vancanneytii",1325724,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas vancanneytii",0,993,1840,5947,17136,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brevundimonas vesicularis",41276,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas vesicularis",0,603.5,1134,1696,3268,"RG2","NotAnnotated","NotAnnotated"
"Brucella anthropi",529,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Brucellaceae|g_Brucella|s_Brucella anthropi",0,3189,3189,32536,32536,"RG2","Pathogen (Abundance: Scarce) | Unassigned","Pathogen"
"Brucella intermedia",94625,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Brucellaceae|g_Brucella|s_Brucella intermedia",0,460,460,935,935,"RG2","NotAnnotated","NotAnnotated"
"Brucella pseudintermedia",370111,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Brucellaceae|g_Brucella|s_Brucella pseudintermedia",0,66,66,164,164,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brucella sp. JSBI001",2886044,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Brucellaceae|g_Brucella|s_Brucella sp. JSBI001",0,355,355,2653,2653,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brucella sp. MAB-22",2986424,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Brucellaceae|g_Brucella|s_Brucella sp. MAB-22",0,108,108,982,982,"NotAnnotated","NotAnnotated","NotAnnotated"
"Buchnera aphidicola",9,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Enterobacterales|f_Erwiniaceae|g_Buchnera|s_Buchnera aphidicola",0,16.5,25,23.5,35,"RG1","NotAnnotated","NotAnnotated"
"Burkholderia contaminans",488447,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Burkholderia|s_Burkholderia contaminans",0,72,72,206.5,305,"NotAnnotated","NotAnnotated","NotAnnotated"
"Burkholderia multivorans",87883,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Burkholderia|s_Burkholderia multivorans",0,141.5,230,506.75,1374,"RG2","NotAnnotated","NotAnnotated"
"Burkholderia pseudomallei",28450,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Burkholderia|s_Burkholderia pseudomallei",0,397,397,58232,58232,"RG3","NotAnnotated","NotAnnotated"
"Campylobacter curvus",200,"S","r_root|k_Pseudomonadati|p_Campylobacterota|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter|s_Campylobacter curvus",0,121,232,218,385,"RG2","Oral (Abundance: Low) | Unassigned","Microbiome"
"Campylobacter rectus",203,"S","r_root|k_Pseudomonadati|p_Campylobacterota|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter|s_Campylobacter rectus",0,3154,5707,10089,15068,"RG2","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Candidatus Minimicrobia sp. QA0096",3118470,"S","r_root|p_Candidatus Saccharibacteria|g_Candidatus Minimicrobia|s_Candidatus Minimicrobia sp. QA0096",0,842,1545,5668.66666666667,13932,"NotAnnotated","NotAnnotated","NotAnnotated"
"Candidatus Minimicrobia vallesae",2841264,"S","r_root|p_Candidatus Saccharibacteria|g_Candidatus Minimicrobia|s_Candidatus Minimicrobia vallesae",0,1559,1559,11551.3333333333,27571,"NotAnnotated","NotAnnotated","NotAnnotated"
"Candidatus Nanosynbacter sp. HMT-352",2899133,"S","r_root|p_Candidatus Saccharibacteria|c_Candidatus Saccharimonadia|o_Candidatus Nanosynbacterales|f_Candidatus Nanosynbacteraceae|g_Candidatus Nanosynbacter|s_Candidatus Nanosynbacter sp. HMT-352",0,9250,22887,48165,119674,"NotAnnotated","NotAnnotated","NotAnnotated"
"Capillimicrobium parvum",2884022,"S","r_root|k_Bacillati|p_Actinomycetota|c_Thermoleophilia|o_Solirubrobacterales|f_Capillimicrobiaceae|g_Capillimicrobium|s_Capillimicrobium parvum",0,25.75,36,373.75,630,"NotAnnotated","NotAnnotated","NotAnnotated"
"Capnocytophaga endodontalis",2708117,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Capnocytophaga endodontalis",0,1692.66666666667,2215,3126.33333333333,3770,"NotAnnotated","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Capnocytophaga sp. oral taxon 878",1316596,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Capnocytophaga sp. oral taxon 878",0,1563.5,2668,1707.33333333333,3944,"NotAnnotated","Oral (Abundance: Scarce) | Unassigned","Microbiome"
"Capnocytophaga sputigena",1019,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Capnocytophaga sputigena",0,2854.33333333333,4361,3138.6,9168,"RG2","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Cardiobacterium hominis",2718,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Cardiobacteriales|f_Cardiobacteriaceae|g_Cardiobacterium|s_Cardiobacterium hominis",0,526,526,655.333333333333,956,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Caulobacter flavus",1679497,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Caulobacter|s_Caulobacter flavus",0,231,231,1232,1232,"NotAnnotated","NotAnnotated","NotAnnotated"
"Caulobacter rhizosphaerae",2010972,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Caulobacter|s_Caulobacter rhizosphaerae",0,324,324,1910,1910,"NotAnnotated","NotAnnotated","NotAnnotated"
"Caulobacter segnis",88688,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Caulobacter|s_Caulobacter segnis",0,176,176,1258,1258,"RG1","NotAnnotated","NotAnnotated"
"Caulobacter soli",2708539,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Caulobacter|s_Caulobacter soli",0,398,398,2645,2645,"NotAnnotated","NotAnnotated","NotAnnotated"
"Caulobacter sp. FWC26",69665,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Caulobacter|s_Caulobacter sp. FWC26",0,168,306,207.4,354,"NotAnnotated","NotAnnotated","NotAnnotated"
"Caulobacter sp. UC70_42",3374551,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Caulobacter|s_Caulobacter sp. UC70_42",0,130,130,1998,1998,"NotAnnotated","NotAnnotated","NotAnnotated"
"Caulobacter vibrioides",155892,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Caulobacter|s_Caulobacter vibrioides",0,14,14,161,161,"RG1","NotAnnotated","NotAnnotated"
"Cetobacterium somerae",188913,"S","r_root|k_Fusobacteriati|p_Fusobacteriota|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Cetobacterium|s_Cetobacterium somerae",0,22.5,34,26.5,40,"NotAnnotated","NotAnnotated","NotAnnotated"
"Chryseobacterium cucumeris",1813611,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium|s_Chryseobacterium cucumeris",0,60,60,87,139,"NotAnnotated","NotAnnotated","NotAnnotated"
"Chryseobacterium sp. PCH239",2825845,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium|s_Chryseobacterium sp. PCH239",0,339,339,2448,2448,"NotAnnotated","NotAnnotated","NotAnnotated"
"Chryseobacterium sp. SG20098",3074145,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium|s_Chryseobacterium sp. SG20098",0,184,184,1064,1064,"NotAnnotated","NotAnnotated","NotAnnotated"
"Chryseobacterium sp. WX",3031803,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium|s_Chryseobacterium sp. WX",0,731,731,5527,5527,"NotAnnotated","NotAnnotated","NotAnnotated"
"Chryseobacterium sp. Y16C",2920939,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium|s_Chryseobacterium sp. Y16C",0,64,64,93,93,"NotAnnotated","NotAnnotated","NotAnnotated"
"Clostridium beijerinckii",1520,"S","r_root|k_Bacillati|p_Bacillota|c_Clostridia|o_Eubacteriales|f_Clostridiaceae|g_Clostridium|s_Clostridium beijerinckii",0,27,27,66,66,"RG1","NotAnnotated","NotAnnotated"
"Clostridium botulinum",1491,"S","r_root|k_Bacillati|p_Bacillota|c_Clostridia|o_Eubacteriales|f_Clostridiaceae|g_Clostridium|s_Clostridium botulinum",0,26,26,444,444,"RG2","NotAnnotated","NotAnnotated"
"Clostridium pasteurianum",1501,"S","r_root|k_Bacillati|p_Bacillota|c_Clostridia|o_Eubacteriales|f_Clostridiaceae|g_Clostridium|s_Clostridium pasteurianum",0,178,178,252,252,"RG1","NotAnnotated","NotAnnotated"
"Clostridium perfringens",1502,"S","r_root|k_Bacillati|p_Bacillota|c_Clostridia|o_Eubacteriales|f_Clostridiaceae|g_Clostridium|s_Clostridium perfringens",0,37,77,543.666666666667,760,"RG2","NotAnnotated","NotAnnotated"
"Cnuibacter physcomitrellae",1619308,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Micrococcales|f_Microbacteriaceae|g_Cnuibacter|s_Cnuibacter physcomitrellae",0,52,52,100,100,"NotAnnotated","NotAnnotated","NotAnnotated"
"Comamonas aquatica",225991,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Comamonas|s_Comamonas aquatica",0,158,265,532,993,"RG2","NotAnnotated","NotAnnotated"
"Comamonas sp. C11",2966554,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Comamonas|s_Comamonas sp. C11",0,249,249,1318,2417,"NotAnnotated","NotAnnotated","NotAnnotated"
"Comamonas testosteroni",285,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Comamonas|s_Comamonas testosteroni",0,487,685,1366.5,1464,"RG1","Environmental -Soil/Water (Abundance: Scarce) | Opportunistic Pathogen (Abundance: No data)","Opportunist"
"Conexibacter sp. SYSU D00693",2812560,"S","r_root|k_Bacillati|p_Actinomycetota|c_Thermoleophilia|o_Solirubrobacterales|f_Conexibacteraceae|g_Conexibacter|s_Conexibacter sp. SYSU D00693",0,32.25,42,567,839,"NotAnnotated","NotAnnotated","NotAnnotated"
"Conexibacter woesei",191495,"S","r_root|k_Bacillati|p_Actinomycetota|c_Thermoleophilia|o_Solirubrobacterales|f_Conexibacteraceae|g_Conexibacter|s_Conexibacter woesei",0,20.75,32,276.5,549,"NotAnnotated","NotAnnotated","NotAnnotated"
"Corynebacterium bovis",36808,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Mycobacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium bovis",0,15,15,70,70,"RG2","Nasal (Abundance: Scarce) | Environmental -Non-Human Animal (Abundance: Scarce)","Microbiome"
"Corynebacterium macginleyi",38290,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Mycobacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium macginleyi",0,83,83,155,155,"RG2","Nasal (Abundance: Low) | Unassigned","Microbiome"
"Corynebacterium matruchotii",43768,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Mycobacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium matruchotii",0,175.5,223,223.5,291,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
